"PotID","Pot.ID.QR.Code","stripNo","BinNo","plotType","divLevel","trt","typePlot"
96,"96-A-mono-1-S","A",4,"mono",1,"S",NA
97,"97-A-mono-1-C","A",5,"mono",1,"C",NA
99,"99-A-pred-2-C","A",5,"pred",2,"C","LF"
101,"101-A-mono-1-C","A",5,"mono",1,"C",NA
102,"102-A-mono-1-S","A",5,"mono",1,"S",NA
103,"103-A-mono-1-S","A",5,"mono",1,"S",NA
104,"104-A-mono-1-S","A",5,"mono",1,"S",NA
105,"105-A-mono-1-S","A",5,"mono",1,"S",NA
106,"106-A-div-2-S","A",5,"div",2,"S",NA
107,"107-A-mono-1-S","A",5,"mono",1,"S",NA
108,"108-A-pred-2-C","A",5,"pred",2,"C","EF"
112,"112-A-mono-1-S","A",5,"mono",1,"S",NA
113,"113-A-mono-1-S","A",5,"mono",1,"S",NA
114,"114-A-mono-1-S","A",5,"mono",1,"S",NA
115,"115-A-mono-1-S","A",5,"mono",1,"S",NA
117,"117-A-pred-20-S","A",5,"pred",20,"S","SimClimFdiv"
122,"122-B-mono-1-C","B",1,"mono",1,"C",NA
123,"123-B-mono-1-S","B",1,"mono",1,"S",NA
124,"124-B-pred-10-S","B",1,"pred",10,"S","EF"
125,"125-B-mono-1-S","B",1,"mono",1,"S",NA
127,"127-B-div-20-C","B",1,"div",20,"C",NA
129,"129-B-mono-1-S","B",1,"mono",1,"S",NA
131,"131-B-mono-1-S","B",1,"mono",1,"S",NA
133,"133-B-pred-10-S","B",1,"pred",10,"S","SimClimGdiv"
134,"134-B-mono-1-C","B",1,"mono",1,"C",NA
137,"137-B-div-20-S","B",1,"div",20,"S",NA
139,"139-B-div-10-S","B",1,"div",10,"S",NA
140,"140-B-pred-20-C","B",1,"pred",20,"C","LF"
142,"142-B-mono-1-S","B",1,"mono",1,"S",NA
143,"143-B-mono-1-C","B",1,"mono",1,"C",NA
144,"144-B-mono-1-S","B",1,"mono",1,"S",NA
145,"145-B-mono-1-C","B",2,"mono",1,"C",NA
146,"146-B-mono-1-C","B",2,"mono",1,"C",NA
149,"149-B-pred-20-C","B",2,"pred",20,"C","LF"
150,"150-B-div-10-S","B",2,"div",10,"S",NA
152,"152-B-pred-20-S","B",2,"pred",20,"S","LF"
153,"153-B-pred-20-C","B",2,"pred",20,"C","Gdiv"
154,"154-B-div-20-C","B",2,"div",20,"C",NA
155,"155-B-mono-1-S","B",2,"mono",1,"S",NA
156,"156-B-mono-1-C","B",2,"mono",1,"C",NA
157,"157-B-div-2-C","B",2,"div",2,"C",NA
158,"158-B-mono-1-S","B",2,"mono",1,"S",NA
159,"159-B-mono-1-C","B",2,"mono",1,"C",NA
161,"161-B-mono-1-C","B",2,"mono",1,"C",NA
165,"165-B-mono-1-C","B",2,"mono",1,"C",NA
167,"167-B-div-10-S","B",2,"div",10,"S",NA
168,"168-B-mono-1-C","B",2,"mono",1,"C",NA
169,"169-B-mono-1-S","B",3,"mono",1,"S",NA
170,"170-B-div-2-S","B",3,"div",2,"S",NA
171,"171-B-pred-20-C","B",3,"pred",20,"C","EF"
172,"172-B-pred-20-C","B",3,"pred",20,"C","EF"
173,"173-B-mono-1-C","B",3,"mono",1,"C",NA
174,"174-B-mono-1-C","B",3,"mono",1,"C",NA
175,"175-B-mono-1-S","B",3,"mono",1,"S",NA
176,"176-B-mono-1-S","B",3,"mono",1,"S",NA
177,"177-B-pred-10-S","B",3,"pred",10,"S","LF"
178,"178-B-mono-1-C","B",3,"mono",1,"C",NA
179,"179-B-mono-1-C","B",3,"mono",1,"C",NA
180,"180-B-mono-1-C","B",3,"mono",1,"C",NA
181,"181-B-mono-1-S","B",3,"mono",1,"S",NA
183,"183-B-mono-1-C","B",3,"mono",1,"C",NA
184,"184-B-mono-1-C","B",3,"mono",1,"C",NA
185,"185-B-mono-1-C","B",3,"mono",1,"C",NA
187,"187-B-mono-1-S","B",3,"mono",1,"S",NA
188,"188-B-mono-1-C","B",3,"mono",1,"C",NA
190,"190-B-mono-1-C","B",3,"mono",1,"C",NA
191,"191-B-pred-2-S","B",3,"pred",2,"S","SimClimFdiv"
192,"192-B-mono-1-C","B",3,"mono",1,"C",NA
193,"193-B-pred-2-C","B",4,"pred",2,"C","SimClimGdiv"
194,"194-B-mono-1-S","B",4,"mono",1,"S",NA
195,"195-B-div-20-S","B",4,"div",20,"S",NA
199,"199-B-mono-1-S","B",4,"mono",1,"S",NA
203,"203-B-pred-10-S","B",4,"pred",10,"S","LF"
205,"205-B-mono-1-C","B",4,"mono",1,"C",NA
206,"206-B-mono-1-C","B",4,"mono",1,"C",NA
208,"208-B-mono-1-S","B",4,"mono",1,"S",NA
210,"210-B-mono-1-C","B",4,"mono",1,"C",NA
211,"211-B-mono-1-S","B",4,"mono",1,"S",NA
212,"212-B-mono-1-C","B",4,"mono",1,"C",NA
216,"216-B-mono-1-C","B",4,"mono",1,"C",NA
219,"219-B-mono-1-C","B",5,"mono",1,"C",NA
220,"220-B-mono-1-C","B",5,"mono",1,"C",NA
221,"221-B-mono-1-S","B",5,"mono",1,"S",NA
222,"222-B-pred-2-S","B",5,"pred",2,"S","SimClimFdiv"
223,"223-B-mono-1-C","B",5,"mono",1,"C",NA
224,"224-B-div-20-S","B",5,"div",20,"S",NA
225,"225-B-pred-2-S","B",5,"pred",2,"S","EF"
227,"227-B-mono-1-C","B",5,"mono",1,"C",NA
228,"228-B-mono-1-S","B",5,"mono",1,"S",NA
231,"231-B-pred-20-C","B",5,"pred",20,"C","SimClimFdiv"
234,"234-B-div-20-S","B",5,"div",20,"S",NA
235,"235-B-mono-1-C","B",5,"mono",1,"C",NA
237,"237-B-pred-2-C","B",5,"pred",2,"C","LF"
238,"238-B-pred-2-S","B",5,"pred",2,"S","SimClimGdiv"
240,"240-B-mono-1-C","B",5,"mono",1,"C",NA
241,"241-C-pred-20-S","C",1,"pred",20,"S","SimClimGdiv"
242,"242-C-mono-1-S","C",1,"mono",1,"S",NA
243,"243-C-mono-1-C","C",1,"mono",1,"C",NA
244,"244-C-mono-1-C","C",1,"mono",1,"C",NA
245,"245-C-mono-1-C","C",1,"mono",1,"C",NA
249,"249-C-pred-2-S","C",1,"pred",2,"S","EF"
250,"250-C-mono-1-C","C",1,"mono",1,"C",NA
252,"252-C-mono-1-S","C",1,"mono",1,"S",NA
253,"253-C-mono-1-C","C",1,"mono",1,"C",NA
254,"254-C-mono-1-C","C",1,"mono",1,"C",NA
256,"256-C-mono-1-C","C",1,"mono",1,"C",NA
257,"257-C-mono-1-C","C",1,"mono",1,"C",NA
259,"259-C-div-10-S","C",1,"div",10,"S",NA
260,"260-C-mono-1-S","C",1,"mono",1,"S",NA
262,"262-C-div-10-C","C",1,"div",10,"C",NA
271,"271-C-mono-1-S","C",2,"mono",1,"S",NA
272,"272-C-mono-1-S","C",2,"mono",1,"S",NA
273,"273-C-div-2-C","C",2,"div",2,"C",NA
275,"275-C-mono-1-C","C",2,"mono",1,"C",NA
279,"279-C-div-10-C","C",2,"div",10,"C",NA
283,"283-C-div-20-C","C",2,"div",20,"C",NA
284,"284-C-mono-1-C","C",2,"mono",1,"C",NA
285,"285-C-div-20-S","C",2,"div",20,"S",NA
286,"286-C-mono-1-C","C",2,"mono",1,"C",NA
287,"287-C-pred-10-S","C",2,"pred",10,"S","Gdiv"
288,"288-C-mono-1-C","C",2,"mono",1,"C",NA
289,"289-C-mono-1-S","C",3,"mono",1,"S",NA
290,"290-C-mono-1-S","C",3,"mono",1,"S",NA
292,"292-C-pred-2-S","C",3,"pred",2,"S","LF"
294,"294-C-div-2-C","C",3,"div",2,"C",NA
295,"295-C-mono-1-S","C",3,"mono",1,"S",NA
297,"297-C-div-20-C","C",3,"div",20,"C",NA
298,"298-C-mono-1-S","C",3,"mono",1,"S",NA
299,"299-C-div-2-C","C",3,"div",2,"C",NA
300,"300-C-mono-1-C","C",3,"mono",1,"C",NA
301,"301-C-mono-1-S","C",3,"mono",1,"S",NA
302,"302-C-mono-1-S","C",3,"mono",1,"S",NA
304,"304-C-mono-1-S","C",3,"mono",1,"S",NA
305,"305-C-pred-2-S","C",3,"pred",2,"S","SimClimGdiv"
307,"307-C-div-2-S","C",3,"div",2,"S",NA
309,"309-C-mono-1-C","C",3,"mono",1,"C",NA
310,"310-C-mono-1-S","C",3,"mono",1,"S",NA
311,"311-C-mono-1-C","C",3,"mono",1,"C",NA
313,"313-C-mono-1-C","C",4,"mono",1,"C",NA
316,"316-C-mono-1-C","C",4,"mono",1,"C",NA
317,"317-C-mono-1-S","C",4,"mono",1,"S",NA
319,"319-C-pred-20-C","C",4,"pred",20,"C","SimClimGdiv"
323,"323-C-pred-10-C","C",4,"pred",10,"C","Gdiv"
324,"324-C-mono-1-S","C",4,"mono",1,"S",NA
325,"325-C-mono-1-C","C",4,"mono",1,"C",NA
326,"326-C-mono-1-C","C",4,"mono",1,"C",NA
327,"327-C-mono-1-S","C",4,"mono",1,"S",NA
328,"328-C-mono-1-C","C",4,"mono",1,"C",NA
329,"329-C-mono-1-C","C",4,"mono",1,"C",NA
330,"330-C-div-10-C","C",4,"div",10,"C",NA
334,"334-C-pred-2-S","C",4,"pred",2,"S","LF"
335,"335-C-mono-1-S","C",4,"mono",1,"S",NA
336,"336-C-mono-1-C","C",4,"mono",1,"C",NA
337,"337-C-mono-1-C","C",5,"mono",1,"C",NA
338,"338-C-mono-1-S","C",5,"mono",1,"S",NA
339,"339-C-mono-1-C","C",5,"mono",1,"C",NA
340,"340-C-mono-1-S","C",5,"mono",1,"S",NA
342,"342-C-mono-1-S","C",5,"mono",1,"S",NA
344,"344-C-pred-2-C","C",5,"pred",2,"C","SimClimFdiv"
346,"346-C-mono-1-C","C",5,"mono",1,"C",NA
347,"347-C-mono-1-C","C",5,"mono",1,"C",NA
348,"348-C-mono-1-C","C",5,"mono",1,"C",NA
349,"349-C-pred-20-S","C",5,"pred",20,"S","SimClimFdiv"
350,"350-C-pred-2-S","C",5,"pred",2,"S","Gdiv"
351,"351-C-mono-1-C","C",5,"mono",1,"C",NA
352,"352-C-mono-1-S","C",5,"mono",1,"S",NA
353,"353-C-mono-1-S","C",5,"mono",1,"S",NA
354,"354-C-mono-1-S","C",5,"mono",1,"S",NA
356,"356-C-pred-10-S","C",5,"pred",10,"S","SimClimFdiv"
358,"358-C-mono-1-S","C",5,"mono",1,"S",NA
359,"359-C-div-10-S","C",5,"div",10,"S",NA
364,"364-D-div-10-C","D",1,"div",10,"C",NA
366,"366-D-mono-1-S","D",1,"mono",1,"S",NA
369,"369-D-mono-1-S","D",1,"mono",1,"S",NA
373,"373-D-mono-1-S","D",1,"mono",1,"S",NA
374,"374-D-mono-1-S","D",1,"mono",1,"S",NA
375,"375-D-pred-10-C","D",1,"pred",10,"C","EF"
377,"377-D-mono-1-S","D",1,"mono",1,"S",NA
379,"379-D-pred-20-C","D",1,"pred",20,"C","SimClimFdiv"
380,"380-D-mono-1-S","D",1,"mono",1,"S",NA
381,"381-D-pred-10-C","D",1,"pred",10,"C","EF"
382,"382-D-div-20-C","D",1,"div",20,"C",NA
387,"387-D-mono-1-C","D",2,"mono",1,"C",NA
388,"388-D-pred-10-S","D",2,"pred",10,"S","EF"
389,"389-D-mono-1-S","D",2,"mono",1,"S",NA
391,"391-D-pred-20-S","D",2,"pred",20,"S","SimClimGdiv"
393,"393-D-mono-1-C","D",2,"mono",1,"C",NA
395,"395-D-mono-1-C","D",2,"mono",1,"C",NA
398,"398-D-mono-1-C","D",2,"mono",1,"C",NA
399,"399-D-mono-1-S","D",2,"mono",1,"S",NA
402,"402-D-pred-10-C","D",2,"pred",10,"C","SimClimFdiv"
403,"403-D-mono-1-S","D",2,"mono",1,"S",NA
407,"407-D-mono-1-S","D",2,"mono",1,"S",NA
408,"408-D-pred-20-S","D",2,"pred",20,"S","LF"
409,"409-D-mono-1-C","D",3,"mono",1,"C",NA
412,"412-D-mono-1-C","D",3,"mono",1,"C",NA
413,"413-D-mono-1-C","D",3,"mono",1,"C",NA
416,"416-D-pred-10-C","D",3,"pred",10,"C","SimClimGdiv"
417,"417-D-mono-1-S","D",3,"mono",1,"S",NA
419,"419-D-mono-1-C","D",3,"mono",1,"C",NA
422,"422-D-mono-1-C","D",3,"mono",1,"C",NA
423,"423-D-mono-1-C","D",3,"mono",1,"C",NA
424,"424-D-mono-1-S","D",3,"mono",1,"S",NA
425,"425-D-div-10-S","D",3,"div",10,"S",NA
426,"426-D-mono-1-S","D",3,"mono",1,"S",NA
427,"427-D-mono-1-S","D",3,"mono",1,"S",NA
432,"432-D-pred-10-C","D",3,"pred",10,"C","LF"
434,"434-D-div-10-C","D",4,"div",10,"C",NA
435,"435-D-pred-10-C","D",4,"pred",10,"C","Gdiv"
437,"437-D-pred-2-C","D",4,"pred",2,"C","Gdiv"
441,"441-D-div-2-C","D",4,"div",2,"C",NA
442,"442-D-mono-1-S","D",4,"mono",1,"S",NA
443,"443-D-pred-10-C","D",4,"pred",10,"C","SimClimGdiv"
446,"446-D-mono-1-S","D",4,"mono",1,"S",NA
447,"447-D-div-2-C","D",4,"div",2,"C",NA
451,"451-D-mono-1-S","D",4,"mono",1,"S",NA
453,"453-D-div-20-C","D",4,"div",20,"C",NA
454,"454-D-div-20-C","D",4,"div",20,"C",NA
455,"455-D-mono-1-C","D",4,"mono",1,"C",NA
456,"456-D-div-2-S","D",4,"div",2,"S",NA
457,"457-D-mono-1-C","D",5,"mono",1,"C",NA
459,"459-D-mono-1-C","D",5,"mono",1,"C",NA
460,"460-D-mono-1-S","D",5,"mono",1,"S",NA
461,"461-D-pred-20-C","D",5,"pred",20,"C","Gdiv"
462,"462-D-mono-1-S","D",5,"mono",1,"S",NA
465,"465-D-mono-1-C","D",5,"mono",1,"C",NA
466,"466-D-div-2-S","D",5,"div",2,"S",NA
469,"469-D-mono-1-C","D",5,"mono",1,"C",NA
470,"470-D-mono-1-S","D",5,"mono",1,"S",NA
471,"471-D-mono-1-C","D",5,"mono",1,"C",NA
472,"472-D-div-2-S","D",5,"div",2,"S",NA
474,"474-D-div-10-S","D",5,"div",10,"S",NA
475,"475-D-mono-1-S","D",5,"mono",1,"S",NA
476,"476-D-mono-1-C","D",5,"mono",1,"C",NA
477,"477-D-mono-1-C","D",5,"mono",1,"C",NA
479,"479-D-mono-1-C","D",5,"mono",1,"C",NA
480,"480-D-mono-1-S","D",5,"mono",1,"S",NA
